date,year,numerical month,numerical month,month,avg_temperature
1997-01,1997,01,01,Jan,14.74
1997-02,1997,02,02,Feb,14.79
1997-03,1997,03,03,Mar,18.23
1997-04,1997,04,04,Apr,21.4
1997-05,1997,05,05,May,24.26
1997-06,1997,06,06,Jun,25.87
1997-07,1997,07,07,Jul,26.58
1997-08,1997,08,08,Aug,26.9
1997-09,1997,09,09,Sep,24.9
1997-10,1997,10,10,Oct,24.55
1997-11,1997,11,11,Nov,21.3
1997-12,1997,12,12,Dec,16.74
1998-01,1998,01,01,Jan,15.16
1998-02,1998,02,02,Feb,15.46
1998-03,1998,03,03,Mar,17.35
1998-04,1998,04,04,Apr,22.73
1998-05,1998,05,05,May,25.32
1998-06,1998,06,06,Jun,26.93
1998-07,1998,07,07,Jul,27.71
1998-08,1998,08,08,Aug,27.71
1998-09,1998,09,09,Sep,26.4
1998-10,1998,10,10,Oct,24.45
1998-11,1998,11,11,Nov,20.97
1998-12,1998,12,12,Dec,16.68
1999-01,1999,01,01,Jan,14.74
1999-02,1999,02,02,Feb,16.36
1999-03,1999,03,03,Mar,18.45
1999-04,1999,04,04,Apr,22.8
1999-05,1999,05,05,May,23.32
1999-06,1999,06,06,Jun,27.53
1999-07,1999,07,07,Jul,27.94
1999-08,1999,08,08,Aug,26.81
1999-09,1999,09,09,Sep,26.27
1999-10,1999,10,10,Oct,24.68
1999-11,1999,11,11,Nov,20.03
1999-12,1999,12,12,Dec,13.87
2000-01,2000,01,01,Jan,14.77
2000-02,2000,02,02,Feb,14.43
2000-03,2000,03,03,Mar,20.75
2000-04,2000,04,04,Apr,22.24
2000-05,2000,05,05,May,25.29
2000-06,2000,06,06,Jun,26.68
2000-07,2000,07,07,Jul,27.58
2000-08,2000,08,08,Aug,26.46
2000-09,2000,09,09,Sep,26.07
2000-10,2000,10,10,Oct,24.48
2000-11,2000,11,11,Nov,18.9
2000-12,2000,12,12,Dec,16.58
2001-01,2001,01,01,Jan,15.29
2001-02,2001,02,02,Feb,15.04
2001-03,2001,03,03,Mar,19.06
2001-04,2001,04,04,Apr,21.23
2001-05,2001,05,05,May,25.42
2001-06,2001,06,06,Jun,26.33
2001-07,2001,07,07,Jul,26.74
2001-08,2001,08,08,Aug,27.61
2001-09,2001,09,09,Sep,26.57
2001-10,2001,10,10,Oct,24.77
2001-11,2001,11,11,Nov,18.8
2001-12,2001,12,12,Dec,15.55
2002-01,2002,01,01,Jan,14.53
2002-02,2002,02,02,Feb,16.46
2002-03,2002,03,03,Mar,20.06
2002-04,2002,04,04,Apr,23.3
2002-05,2002,05,05,May,25.48
2002-06,2002,06,06,Jun,27.6
2002-07,2002,07,07,Jul,27.29
2002-08,2002,08,08,Aug,26.81
2002-09,2002,09,09,Sep,25.53
2002-10,2002,10,10,Oct,23.45
2002-11,2002,11,11,Nov,19.1
2002-12,2002,12,12,Dec,16
2003-01,2003,01,01,Jan,13.19
2003-02,2003,02,02,Feb,16.96
2003-03,2003,03,03,Mar,17.71
2003-04,2003,04,04,Apr,22.87
2003-05,2003,05,05,May,25.97
2003-06,2003,06,06,Jun,26.33
2003-07,2003,07,07,Jul,28
2003-08,2003,08,08,Aug,27.19
2003-09,2003,09,09,Sep,26.4
2003-10,2003,10,10,Oct,23.58
2003-11,2003,11,11,Nov,20.07
2003-12,2003,12,12,Dec,14.68
2004-01,2004,01,01,Jan,13.68
2004-02,2004,02,02,Feb,15.28
2004-03,2004,03,03,Mar,17.9
2004-04,2004,04,04,Apr,21.9
2004-05,2004,05,05,May,24.65
2004-06,2004,06,06,Jun,27.47
2004-07,2004,07,07,Jul,26.97
2004-08,2004,08,08,Aug,27.03
2004-09,2004,09,09,Sep,26.03
2004-10,2004,10,10,Oct,22.65
2004-11,2004,11,11,Nov,20.53
2004-12,2004,12,12,Dec,16.39
2005-01,2005,01,01,Jan,13.35
2005-02,2005,02,02,Feb,14.54
2005-03,2005,03,03,Mar,15.32
2005-04,2005,04,04,Apr,21.3
2005-05,2005,05,05,May,24.06
2005-06,2005,06,06,Jun,25.8
2005-07,2005,07,07,Jul,27.23
2005-08,2005,08,08,Aug,26.84
2005-09,2005,09,09,Sep,26.97
2005-10,2005,10,10,Oct,24.65
2005-11,2005,11,11,Nov,22.04
2005-12,2005,12,12,Dec,14.81
2006-01,2006,01,01,Jan,14.84
2006-02,2006,02,02,Feb,16.43
2006-03,2006,03,03,Mar,16.94
2006-04,2006,04,04,Apr,22.73
2006-05,2006,05,05,May,24.68
2006-06,2006,06,06,Jun,26.8
2006-07,2006,07,07,Jul,27.81
2006-08,2006,08,08,Aug,26.81
2006-09,2006,09,09,Sep,25.3
2006-10,2006,10,10,Oct,24.97
2006-11,2006,11,11,Nov,21.43
2006-12,2006,12,12,Dec,15.84
2007-01,2007,01,01,Jan,14.1
2007-02,2007,02,02,Feb,18.18
2007-03,2007,03,03,Mar,18.97
2007-04,2007,04,04,Apr,20.03
2007-05,2007,05,05,May,24.97
2007-06,2007,06,06,Jun,27.07
2007-07,2007,07,07,Jul,28.26
2007-08,2007,08,08,Aug,26.87
2007-09,2007,09,09,Sep,26.57
2007-10,2007,10,10,Oct,24.48
2007-11,2007,11,11,Nov,19.03
2007-12,2007,12,12,Dec,17.74
2008-01,2008,01,01,Jan,13.32
2008-02,2008,02,02,Feb,11.24
2008-03,2008,03,03,Mar,18.19
2008-04,2008,04,04,Apr,22.27
2008-05,2008,05,05,May,24.16
2008-06,2008,06,06,Jun,25.37
2008-07,2008,07,07,Jul,26.9
2008-08,2008,08,08,Aug,26.71
2008-09,2008,09,09,Sep,26.93
2008-10,2008,10,10,Oct,25.19
2008-11,2008,11,11,Nov,20
2008-12,2008,12,12,Dec,16.03
2009-01,2009,01,01,Jan,12.58
2009-02,2009,02,02,Feb,19.25
2009-03,2009,03,03,Mar,18.23
2009-04,2009,04,04,Apr,20.87
2009-05,2009,05,05,May,23.94
2009-06,2009,06,06,Jun,26.9
2009-07,2009,07,07,Jul,27.52
2009-08,2009,08,08,Aug,27.87
2009-09,2009,09,09,Sep,27.5
2009-10,2009,10,10,Oct,25.1
2009-11,2009,11,11,Nov,18.17
2009-12,2009,12,12,Dec,15.58
2010-01,2010,01,01,Jan,15.26
2010-02,2010,02,02,Feb,16.57
2010-03,2010,03,03,Mar,18.55
2010-04,2010,04,04,Apr,19.83
2010-05,2010,05,05,May,24.52
2010-06,2010,06,06,Jun,26.3
2010-07,2010,07,07,Jul,27.71
2010-08,2010,08,08,Aug,27.29
2010-09,2010,09,09,Sep,26.4
2010-10,2010,10,10,Oct,23.65
2010-11,2010,11,11,Nov,19.4
2010-12,2010,12,12,Dec,15.32
2011-01,2011,01,01,Jan,10.77
2011-02,2011,02,02,Feb,14.21
2011-03,2011,03,03,Mar,15.81
2011-04,2011,04,04,Apr,21
2011-05,2011,05,05,May,24.35
2011-06,2011,06,06,Jun,27.1
2011-07,2011,07,07,Jul,27.45
2011-08,2011,08,08,Aug,28.13
2011-09,2011,09,09,Sep,26.63
2011-10,2011,10,10,Oct,23.55
2011-11,2011,11,11,Nov,22
2011-12,2011,12,12,Dec,14.77
2012-01,2012,01,01,Jan,12.93
2012-02,2012,02,02,Feb,14.34
2012-03,2012,03,03,Mar,17.65
2012-04,2012,04,04,Apr,22.53
2012-05,2012,05,05,May,26.61
